,exit,prediction,confidence,target,time,correct,sample
0,0,0,0.6244326829910278,0,2550.8161000000005,True,0
1,1,0,0.9952099919319153,0,2572.6343000000006,True,0
2,2,0,0.9950674772262573,0,2589.430500000001,True,0
3,3,0,0.9986466765403748,0,2600.8070000000016,True,0
4,4,0,0.9999667406082153,0,2606.1532000000016,True,0
5,0,0,0.9994956254959106,0,33.467200000000474,True,1
6,1,0,0.9506895542144775,0,53.96129999999921,True,1
7,2,0,0.9715245962142944,0,69.45239999999941,True,1
8,3,0,0.9992320537567139,0,79.92450000000062,True,1
9,4,0,0.9999428987503052,0,85.01189999999959,True,1
10,0,0,0.9817414879798889,0,31.267500000000226,True,2
11,1,0,0.9988131523132324,0,51.61149999999992,True,2
12,2,0,0.99901282787323,0,66.98330000000041,True,2
13,3,0,0.9999451637268066,0,77.45719999999956,True,2
14,4,0,0.9999994039535522,0,82.52809999999933,True,2
15,0,0,0.9998500347137451,0,34.89270000000033,True,3
16,1,0,0.9999949932098389,0,56.02290000000032,True,3
17,2,0,0.9999920129776001,0,71.47860000000072,True,3
18,3,0,0.9998852014541626,0,81.97600000000094,True,3
19,4,0,0.9999046325683594,0,87.04800000000112,True,3
20,0,0,0.9999833106994629,0,33.84810000000016,True,4
21,1,0,0.9999982118606567,0,55.874199999999874,True,4
22,2,0,0.9999994039535522,0,71.21270000000024,True,4
23,3,0,0.9999980926513672,0,81.6479000000001,True,4
24,4,0,0.999997615814209,0,86.75689999999925,True,4
25,0,0,0.9976199269294739,0,35.2964999999994,True,5
26,1,0,0.9886117577552795,0,55.6909000000001,True,5
27,2,0,0.9981629252433777,0,71.04789999999994,True,5
28,3,0,0.9992239475250244,0,81.47819999999939,True,5
29,4,0,0.9999064207077026,0,86.54100000000042,True,5
30,0,0,0.9999996423721313,0,33.4386999999996,True,6
31,1,0,0.9999998807907104,0,54.25660000000043,True,6
32,2,0,0.9999967813491821,0,69.58739999999963,True,6
33,3,0,0.9999997615814209,0,80.02800000000043,True,6
34,4,0,0.9999986886978149,0,85.10680000000015,True,6
35,0,0,0.999976634979248,0,34.05469999999866,True,7
36,1,0,0.9999045133590698,0,54.285499999998876,True,7
37,2,0,1.0,0,70.09449999999973,True,7
38,3,0,0.9999923706054688,0,80.5188999999995,True,7
39,4,0,0.9999984502792358,0,85.59379999999983,True,7
40,0,0,0.9094835519790649,0,35.214899999999716,True,8
41,1,0,0.9994506239891052,0,55.57589999999912,True,8
42,2,0,0.9987649917602539,0,70.94379999999845,True,8
43,3,0,0.9997779726982117,0,81.34989999999931,True,8
44,4,0,0.9997809529304504,0,86.42429999999912,True,8
45,0,92,0.7925711274147034,0,32.31889999999993,False,9
46,1,92,0.7312830686569214,0,53.26960000000014,False,9
47,2,92,0.9825989007949829,0,71.8677999999997,False,9
48,3,92,0.9824350476264954,0,82.74970000000081,False,9
49,4,92,0.8168848156929016,0,87.80800000000077,False,9
50,0,0,0.9999998807907104,0,31.914200000001003,True,10
51,1,0,1.0,0,52.45200000000061,True,10
52,2,0,0.9999998807907104,0,67.89750000000083,True,10
53,3,0,0.9999986886978149,0,78.33600000000018,True,10
54,4,0,0.9999994039535522,0,83.43849999999975,True,10
55,0,0,0.9334615468978882,0,33.659799999998796,True,11
56,1,0,0.9999504089355469,0,54.40769999999873,True,11
57,2,0,0.9999985694885254,0,69.73990000000008,True,11
58,3,0,0.9999175071716309,0,80.20129999999881,True,11
59,4,0,0.9999696016311646,0,85.33119999999883,True,11
60,0,0,0.9984411597251892,0,31.590999999998814,True,12
61,1,0,0.9999747276306152,0,52.981899999998916,True,12
62,2,0,0.999534010887146,0,68.74179999999974,True,12
63,3,0,0.999982476234436,0,79.46969999999887,True,12
64,4,0,0.9999265670776367,0,84.56739999999918,True,12
65,0,0,0.9917600750923157,0,33.14410000000123,True,13
66,1,0,0.9999673366546631,0,53.844700000000856,True,13
67,2,0,0.9997851252555847,0,69.30620000000154,True,13
68,3,0,0.9996616840362549,0,79.78290000000143,True,13
